,region_name,state_name,count_qualified_17,percent_covered_17,percent_qualified_17,existing_installs_count_17,count_qualified_21,percent_covered_21,percent_qualified_21,existing_installs_count_21,CtySt,TotalPop,IncomePerCap,StCtyID,land_area_sqmi,Pct_hmowner,Pct_hmowner_imp,PopDens,pct_install_17,pct_install_21,chg_pct_install,chg_pct_covered,chg_qualified,chg_qualified_pct
70,Carver County,Minnesota,15978,80.833836858006,79.6232620720586,30,16968.0,51.40798619919834,83.73470193446506,30.0,"Carver, Minnesota",98799,44212,27019,354.33,83.8,83.8,278.83329099991533,0.1877581674802854,0.1768033946251768,-0.010954772855108597,-29.425850658807654,990.0,6.196019526849418
71,Cascade County,Montana,20297,93.1524673888293,70.8793127531778,15,22822.0,87.80627123230015,78.13880234190434,15.0,"Cascade, Montana",81816,28350,30013,2698.16,66.0,66.0,30.32288670797877,0.07390254717445928,0.06572605380772939,-0.00817649336672989,-5.346196156529146,2525.0,12.440262107700645
72,Cass County,North Dakota,33194,93.12557286892759,77.7887139107612,18,35496.0,73.84425966841509,81.07256241006783,18.0,"Cass, North Dakota",170620,34193,38017,1764.94,46.4,46.4,96.6718415356896,0.054226667470024706,0.05070993914807302,-0.0035167283219516843,-19.2813132005125,2302.0,6.934988250888715
73,Catoosa County,Georgia,14567,75.2971344838815,78.7447970160549,20,15571.0,64.17990842984109,81.67750734368444,20.0,"Catoosa, Georgia",65870,25643,13047,162.16,74.1,74.1,406.20374938332515,0.13729662936774903,0.12844390212574658,-0.00885272724200245,-11.117226054040415,1004.0,6.892290794261001
74,Champaign County,Illinois,23983,69.6801813145303,66.6731533735509,55,25996.0,56.77107610080483,71.14589890254248,55.0,"Champaign, Illinois",207946,28463,17019,996.27,51.9,51.9,208.72454254368796,0.22932910811825044,0.21157101092475766,-0.017758097193492778,-12.909105213725475,2013.0,8.393445357127966
75,Charleston County,South Carolina,85883,86.9053770849482,70.9266890747975,267,93779.0,78.16543064598514,77.57190242611235,267.0,"Charleston, South Carolina",387847,35587,45019,916.09,63.7,63.7,423.37215775742555,0.31088806865153756,0.28471192910992865,-0.02617613954160891,-8.73994643896306,7896.0,9.193903333605022
76,Charlotte County,Florida,75951,94.1192694655299,96.7688916635876,5595,83086.0,91.23626491085552,97.33940977307077,5604.0,"Charlotte, Florida",173236,29243,12015,680.28,81.9,81.9,254.65396601399425,7.366591618280207,6.744818621669114,-0.6217729966110932,-2.883004554674372,7135.0,9.39421469105081
77,Chatham County,Georgia,57886,91.21858130904181,66.9055352003606,101,62247.0,88.43153428006399,69.95145303755648,101.0,"Chatham, Georgia",285506,28765,13051,426.44,55.5,55.5,669.5103648813432,0.17448087620495456,0.16225681558950633,-0.012224060615448229,-2.787047028977824,4361.0,7.533773278512939
78,Cherokee County,Georgia,36595,83.41601700921329,70.66308797404801,22,41089.0,60.54889416151175,71.88041215471546,22.0,"Cherokee, Georgia",235896,33466,13057,421.67,74.2,74.2,559.4327317570612,0.060117502391037025,0.05354231059407627,-0.006575191796960755,-22.867122847701545,4494.0,12.280366170241836
79,Chesterfield County,Virginia,62951,94.0310670980169,55.1099555275414,78,69705.0,89.65948713253526,59.31633677689466,78.0,"Chesterfield, Virginia",335594,35370,51041,423.3,77.3,77.3,792.8041578077014,0.1239058950612381,0.11190015063481816,-0.01200574442641994,-4.371579965481644,6754.0,10.728979682610284
80,Chittenden County,Vermont,14293,65.7345066232424,68.091086656186,131,19530.0,68.01218381671303,76.05732533686424,131.0,"Chittenden, Vermont",160985,36384,50007,536.58,62.4,62.4,300.020500205002,0.916532568390121,0.6707629288274449,-0.24576963956267606,2.2776771934706375,5237.0,36.640313440145526
81,Christian County,Missouri,13437,79.09995672868891,61.255470459518605,5,15370.0,53.005503709021305,69.38738657396958,5.0,"Christian, Missouri",83028,26628,29043,562.65,73.7,73.7,147.56598240469208,0.037210686909280345,0.03253090435914118,-0.004679782550139164,-26.094453019667604,1933.0,14.385651559127782
82,Clackamas County,Oregon,77238,69.640221402214,73.0825274870844,957,89401.0,62.49387653951001,82.44662701157375,957.0,"Clackamas, Oregon",399962,37551,41005,1870.32,70.7,70.7,213.84682835022883,1.2390274217354151,1.0704578248565453,-0.16856959687886985,-7.146344862703984,12163.0,15.747430021492011
83,Clark County,Indiana,34442,87.95904740707769,87.1508097165992,32,35801.0,71.54696622832705,88.8009723186824,32.0,"Clark, Indiana",114893,26875,18019,372.86,74.5,74.5,308.13978436946843,0.09290981940653853,0.08938297812910254,-0.0035268412774359936,-16.41208117875064,1359.0,3.945763892921433
84,Clark County,Nevada,384821,72.3459823005191,91.6358293685379,11791,426218.0,70.00175002404312,95.99396403193657,11778.0,"Clark, Nevada",2112436,27719,32003,7891.43,54.3,54.3,267.68735197549745,3.0640219738527783,2.7633746111145,-0.3006473627382782,-2.344232276475978,41397.0,10.757469057042105
85,Clark County,Washington,118530,88.0070358388039,84.60747783630991,503,126776.0,79.90087394825912,89.05998637152351,503.0,"Clark, Washington",457474,32162,53011,629.0,65.6,65.6,727.3036565977742,0.4243651396270986,0.39676279421972616,-0.02760234540737244,-8.106161890544783,8246.0,6.9568885514215815
86,Clarke County,Georgia,26933,93.3971774193548,80.7489356598909,33,28816.0,88.49256790059404,84.47219535074605,33.0,"Clarke, Georgia",123554,21203,13059,119.2,36.7,36.7,1036.5268456375838,0.12252626888946645,0.11451971127151582,-0.008006557617950633,-4.904609518760765,1883.0,6.991423161177737
87,Clay County,Minnesota,10892,83.4854436229205,75.3615166401439,5,11794.0,57.02252544117086,78.83162890181137,5.0,"Clay, Minnesota",62040,28122,27027,1045.37,,65.1,59.34740809474158,0.04590525156077855,0.042394437849754114,-0.0035108137110244353,-26.462918181749636,902.0,8.281307381564451
